model,seed,artifact_prefix,status,best_threshold,best_val_dice,test_dice,test_hd95_median,test_fnr,test_fpr,error
25d_bce_dice_posweighted_boundary_0.1,0,25d_bce_dice_posweighted_boundary_0.1_seed0,ok,0.5,0.73833905614049,0.804429772668543,6.082762718200684,0.009358288770053475,0.21571072319201995,
25d_bce_dice_posweighted_boundary_0.1,1,25d_bce_dice_posweighted_boundary_0.1_seed1,ok,0.5,0.8078312298568496,0.7347705533515804,8.031128883361816,0.02390998593530239,0.2622169249106079,
25d_bce_dice_posweighted_boundary_0.1,2,25d_bce_dice_posweighted_boundary_0.1_seed2,ok,0.7,0.7765704706852508,0.760799071401673,5.70832633972168,0.027777777777777776,0.13224181360201512,
25d_bce_dice_posweighted_boundary_0.1,3,25d_bce_dice_posweighted_boundary_0.1_seed3,ok,0.7,0.8497061770431389,0.8099784428092467,5.0,0.05172413793103448,0.2730263157894737,
25d_bce_dice_posweighted_boundary_0.1,4,25d_bce_dice_posweighted_boundary_0.1_seed4,ok,0.7,0.7814762057995719,0.7785048779962133,5.489503860473633,0.044374009508716325,0.21545157780195864,
25d_bce_dice_posweighted_boundary_0.2,0,25d_bce_dice_posweighted_boundary_0.2_seed0,ok,0.7,0.7399260228192558,0.8039926170884447,7.021320343017578,0.004010695187165776,0.29925187032418954,
25d_bce_dice_posweighted_boundary_0.2,1,25d_bce_dice_posweighted_boundary_0.2_seed1,ok,0.5,0.8266745541870159,0.7365937514227989,6.344197750091553,0.0450070323488045,0.17878426698450536,
25d_bce_dice_posweighted_boundary_0.2,2,25d_bce_dice_posweighted_boundary_0.2_seed2,ok,0.55,0.7801078939690995,0.7729390809785516,4.4721360206604,0.026455026455026454,0.13476070528967254,
25d_bce_dice_posweighted_boundary_0.2,3,25d_bce_dice_posweighted_boundary_0.2_seed3,ok,0.7,0.8548931288780898,0.7859928536821496,4.4721360206604,0.06426332288401254,0.25,
25d_bce_dice_posweighted_boundary_0.2,4,25d_bce_dice_posweighted_boundary_0.2_seed4,ok,0.7,0.7735503254681343,0.7801067755216653,7.1899919509887695,0.039619651347068144,0.17410228509249184,
